,Country_x,Year,Total_Issued,Total_Not_Issued,Total,Acceptance_Rate,CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,Score2017,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_pct_GDP,Gov_Expenditure_pct_of_GDP,Country_y,Population_MM,GDP_Billions_PPP,GDP_Growth_Rate_,Five_Year_GDP_Growth_Rate,GDP_per_Capita_PPP,Unemployment,Inflation,FDI_Inflow_MM,Public_Debt_pct_GDP,Unnamed_34,Unnamed_35,Score2018
93,GEORGIA,2018,1946,920,2866,0.6789951151430565,61.0,GEORGIA,Georgia,Europe,16.0,9.0,,62.8,64.2,61.8,87.0,73.3,91.8,86.9,77.3,79.6,89.4,80.0,60.0,0.3,20.0,15.0,25.9,29.8,Georgia,3.7,$37.2 ,2.8,4.0,"$10,043.8",11.6,2.1,"1,661.4",44.9,,,76.2
94,GHANA,2017,19587,11561,31148,0.6288365224091435,63.0,GHANA,Ghana,Sub-Saharan Africa,118.0,19.0,56.2,51.6,40.9,35.5,84.5,76.3,9.2,59.6,57.4,64.5,65.1,70.0,60.0,10.0,25.0,25.0,17.2,24.4,Ghana,26.9,$114.7 ,3.5,7.6,"$4,266",6.3,17.2,"3,192.3",73.3,,,
95,GHANA,2018,25136,18192,43328,0.5801329394387001,63.0,GHANA,Ghana,Sub-Saharan Africa,122.0,19.0,,48.9,43.7,32.9,83.5,79.0,9.5,59.5,56.2,63.7,65.1,70.0,60.0,10.0,25.0,25.0,20.1,26.5,Ghana,27.6,$121.7 ,3.5,5.7,"$4,411.9",5.8,17.5,"3,485.3",72.4,,,56.0
96,GUATEMALA,2017,99,1,100,0.99,65.0,GUATEMALA,Guatemala,Americas,74.0,15.0,63.0,45.0,27.8,27.5,79.2,94.8,93.5,58.7,48.2,79.4,87.0,65.0,50.0,1.5,31.0,31.0,12.5,12.2,Guatemala,16.3,$125.9 ,4.0,3.8,"$7,738",2.7,2.4,"1,208.4",24.3,,,
97,GUINEA,2017,7497,5864,13361,0.5611106953072375,66.0,GUINEA,Guinea,Sub-Saharan Africa,169.0,42.0,47.6,15.6,13.1,27.5,69.1,78.4,34.2,55.8,54.8,71.1,61.2,50.0,40.0,11.9,40.0,35.0,16.2,28.5,Guinea,11.7,$15.0 ,0.1,2.2,"$1,214",1.8,8.2,85.0,48.4,,,
98,GUINEA,2018,6934,6323,13257,0.5230444293580749,66.0,GUINEA,Guinea,Sub-Saharan Africa,146.0,29.0,,32.4,28.2,26.9,65.9,80.6,61.0,54.1,54.0,71.8,61.2,50.0,40.0,11.9,40.0,35.0,24.1,25.4,Guinea,12.7,$16.0 ,0.1,2.2,"$1,264.5",6.8,8.2,104.3,56.0,,,52.2
99,GUINEA-BISSAU,2017,5448,1467,6915,0.7878524945770065,67.0,GUINEA-BISSAU,GuineaBissau,Sub-Saharan Africa,119.0,20.0,56.1,33.8,48.7,28.7,89.0,87.5,75.3,46.7,60.9,77.7,65.2,30.0,30.0,9.9,20.0,25.0,8.7,25.5,Guinea-Bissau,1.8,$2.7 ,4.8,3.1,"$1,508",7.6,1.5,18.3,57.7,,,
100,GUINEA-BISSAU,2018,6440,1748,8188,0.7865168539325843,67.0,GUINEA-BISSAU,GuineaBissau,Sub-Saharan Africa,118.0,15.0,,31.1,53.5,27.3,86.4,85.6,87.1,47.8,61.1,77.4,65.2,30.0,30.0,9.9,20.0,25.0,18.4,21.9,Guinea-Bissau,1.7,$2.9 ,4.8,2.6,"$1,729.9",6.5,1.5,19.6,46.3,,,56.9
101,HAITI,2017,5116,2689,7805,0.6554772581678411,69.0,HAITI,Haiti,Americas,159.0,27.0,49.6,12.6,25.1,19.1,80.3,81.0,51.8,49.4,62.1,73.8,70.6,40.0,30.0,7.2,30.0,30.0,13.2,22.0,Haiti,10.6,$18.7 ,1.0,3.3,"$1,750",6.9,7.5,104.2,30.4,,,
102,HAITI,2018,5440,3066,8506,0.6395485539619092,69.0,HAITI,Haiti,Americas,124.0,25.0,,25.1,42.5,24.6,80.1,85.6,83.6,48.3,64.1,68.9,71.9,45.0,30.0,6.6,30.0,30.0,13.7,21.9,Haiti,10.8,$19.4 ,1.0,2.5,"$1,784.1",13.2,13.4,104.4,33.5,,,55.8
